英文专名,类型,当前译名,统一音译,使用规则,来源
Vlandian Pirates,舰船航海,瓦兰迪亚海盗,弗兰迪安海盗团,AI音译，保留文化专名。,术语表候选
Vodyanoy,舰船航海,水妖,沃佳诺伊号,AI音译，保留文化专名。,术语表候选
Vrykolakas,舰船航海,血尸,弗瑞科拉卡斯号,AI音译，保留文化专名。,术语表候选
Walrus,舰船航海,海象,沃尔鲁斯号,AI音译，保留文化专名。,术语表候选
Walrus Tusk Hunters,舰船航海,海象猎手,沃尔鲁斯图斯克猎手团,AI音译，保留文化专名。,术语表候选
Warding Hand,舰船航海,护佑之手,沃丁汉德号,AI音译，保留文化专名。,术语表候选
Warrior's Might,舰船航海,勇士之力,沃里尔迈特号,AI音译，保留文化专名。,术语表候选
Wasp,舰船航海,黄蜂,沃斯普号,AI音译，保留文化专名。,术语表候选
Water of Ziram,舰船航海,齐拉姆之水,齐拉姆之水号,AI音译，保留文化专名。,术语表候选
Wave-Steed,舰船航海,浪驹,韦夫斯蒂德号,AI音译，保留文化专名。,术语表候选
Wavebreaker Ram,舰船航海,破浪撞角,韦夫布雷克罗姆号,AI音译，保留文化专名。,术语表候选
Weak,舰船航海,弱,威克号,AI音译，保留文化专名。,术语表候选
Well Stocked,舰船航海,储备充足,韦尔斯托克德号,AI音译，保留文化专名。,术语表候选
Western Galley,舰船航海,西式桨帆船,韦斯特恩加利号,AI音译，保留文化专名。,术语表候选
Whalers,舰船航海,捕鲸者,韦勒斯团,AI音译，保留文化专名。,术语表候选
Whirlwind,舰船航海,旋风,惠尔温德号,AI音译，保留文化专名。,术语表候选
White Dromedary,舰船航海,白驼,怀特德罗梅达里号,AI音译，保留文化专名。,术语表候选
Wide Oars,舰船航海,宽桨,怀德奥尔斯号,AI音译，保留文化专名。,术语表候选
Widow-Maker,舰船航海,寡妇制造者,维多梅克号,AI音译，保留文化专名。,术语表候选
Will of the Kurultai,舰船航海,库里台意志,库里台意志号,AI音译，保留文化专名。,术语表候选
Wind,舰船航海,风,温德号,AI音译，保留文化专名。,术语表候选
Wind Direction,舰船航海,风向,温德迪雷克申号,AI音译，保留文化专名。,术语表候选
Wind Horse,舰船航海,风马,温德霍斯号,AI音译，保留文化专名。,术语表候选
Wind Rider,舰船航海,风行者,温德赖德号,AI音译，保留文化专名。,术语表候选
Wind Strength,舰船航海,风力,温德斯特伦斯号,AI音译，保留文化专名。,术语表候选
Wind's Teeth,舰船航海,风之牙,温兹蒂斯号,AI音译，保留文化专名。,术语表候选
Windborne,舰船航海,乘风,温德伯恩号,AI音译，保留文化专名。,术语表候选
Wisdom,舰船航海,智慧,威斯多姆号,AI音译，保留文化专名。,术语表候选
Witch,舰船航海,女巫,威奇号,AI音译，保留文化专名。,术语表候选
Woe-Bringer,舰船航海,灾厄使者,沃布林格号,AI音译，保留文化专名。,术语表候选
Wolf,舰船航海,狼,沃尔夫号,AI音译，保留文化专名。,术语表候选
Worthy Rotbard,舰船航海,尊贵红胡子,沃西罗特巴德号,AI音译，保留文化专名。,术语表候选
Wounded Beast,舰船航海,负伤之兽,伍恩德比斯特号,AI音译，保留文化专名。,术语表候选
Wrath,舰船航海,怒火,拉斯号,AI音译，保留文化专名。,术语表候选
Wrath of Typhon,舰船航海,提丰之怒,提丰之怒号,AI音译，保留文化专名。,术语表候选
Writs of Reprisal,舰船航海,报复令状,里普赖索尔令状号,AI音译，保留文化专名。,术语表候选
Wyrm,舰船航海,巨蛇,沃姆号,AI音译，保留文化专名。,术语表候选
Wyvern,舰船航海,双足飞龙,威弗恩号,AI音译，保留文化专名。,术语表候选
You are at the port,舰船航海,你已抵达港口,尤阿特港,AI音译，保留文化专名。,术语表候选
You cannot buy this ship,舰船航海,你无法购买此船,尤坎诺特拜迪斯希普号,AI音译，保留文化专名。,术语表候选
You don't have any ships,舰船航海,你没有任何船只,尤东特哈夫安尼希普斯号,AI音译，保留文化专名。,术语表候选
You don't own this ship,舰船航海,你不拥有此船,尤东特欧恩迪斯希普号,AI音译，保留文化专名。,术语表候选
Zedrosis,舰船航海,泽德罗西斯,泽德罗西斯号,AI音译，保留文化专名。,术语表候选
Zeonic Wind,舰船航海,宙风,泽奥尼克温德号,AI音译，保留文化专名。,术语表候选
Zephyr,舰船航海,西风,泽菲尔号,AI音译，保留文化专名。,术语表候选
Nordic,对话文本,诺德,诺迪克,AI音译，保留文化专名。,术语表候选
Bjalthir,对话文本,比亚尔希尔,比亚尔希尔,AI音译，保留文化专名。,术语表候选
king of the Nordvyg,对话文本,诺德维格之王,诺德维格之王,AI音译，保留文化专名。,术语表候选
Kingdom of the Nordvyg,对话文本,诺德维格王国,诺德维格王国,AI音译，保留文化专名。,术语表候选
Nords,对话文本,诺德人,诺德人,AI音译，保留文化专名。,术语表候选
queen of the Nordvyg,对话文本,诺德维格女王,诺德维格女王,AI音译，保留文化专名。,术语表候选
Tertha,对话文本,瑟萨,瑟萨,AI音译，保留文化专名。,术语表候选
the Nords,对话文本,诺德人,诺德人,AI音译，保留文化专名。,术语表候选
Cog,任务剧情,柯克船,柯克号,AI音译，保留文化专名。,术语表候选
Hideout,定居点文本,藏身处,海德奥特,AI音译，保留文化专名。,术语表候选
Ab Comer Castle,定居点文本,阿布科默堡,阿布科默堡,AI音译，保留文化专名。,术语表候选
Aeoria,定居点文本,艾奥里亚,艾奥里亚,AI音译，保留文化专名。,术语表候选
Agalmon,定居点文本,阿加尔蒙,阿加尔蒙,AI音译，保留文化专名。,术语表候选
Ain Baliq Castle,定居点文本,艾因巴利克堡,艾因巴利克堡,AI音译，保留文化专名。,术语表候选
Akkalat,定居点文本,阿卡拉特,阿卡拉特,AI音译，保留文化专名。,术语表候选
Alision,定居点文本,阿利西翁,阿利西翁,AI音译，保留文化专名。,术语表候选
Amitatys,定居点文本,阿米塔提斯,阿米塔提斯,AI音译，保留文化专名。,术语表候选
Amprela,定居点文本,安普雷拉,安普雷拉,AI音译，保留文化专名。,术语表候选
Argoron,定居点文本,阿戈隆,阿戈隆,AI音译，保留文化专名。,术语表候选
Asalig,定居点文本,阿萨利格,阿萨利格,AI音译，保留文化专名。,术语表候选
Askar,定居点文本,阿斯卡,阿斯卡,AI音译，保留文化专名。,术语表候选
Asmait,定居点文本,阿斯迈特,阿斯迈特,AI音译，保留文化专名。,术语表候选
Ath Cafal,定居点文本,阿斯卡法尔,阿斯卡法尔,AI音译，保留文化专名。,术语表候选
Avalyps,定居点文本,阿瓦利普斯,阿瓦利普斯,AI音译，保留文化专名。,术语表候选
Balgard,定居点文本,巴尔加德,巴尔加德,AI音译，保留文化专名。,术语表候选
Baltakhand,定居点文本,巴尔塔汗,巴尔塔汗,AI音译，保留文化专名。,术语表候选
Barihal Castle,定居点文本,巴里哈尔堡,巴里哈尔堡,AI音译，保留文化专名。,术语表候选
Bergum,定居点文本,贝格姆,贝格姆,AI音译，保留文化专名。,术语表候选
Bog Beth,定居点文本,博格贝斯,博格贝斯,AI音译，保留文化专名。,术语表候选
Bukits,定居点文本,布基茨,布基茨,AI音译，保留文化专名。,术语表候选
Caleus Castle,定居点文本,卡利乌斯堡,卡利乌斯堡,AI音译，保留文化专名。,术语表候选
Canterion,定居点文本,坎特里昂,坎特里昂,AI音译，保留文化专名。,术语表候选
Car Banseth,定居点文本,卡班塞斯,卡班塞斯,AI音译，保留文化专名。,术语表候选
Carphenion,定居点文本,卡菲尼昂,卡菲尼昂,AI音译，保留文化专名。,术语表候选
Chaikand,定居点文本,柴坎德,柴坎德,AI音译，保留文化专名。,术语表候选
Charas,定居点文本,查拉斯,查拉斯,AI音译，保留文化专名。,术语表候选
Chornobas,定居点文本,乔诺巴斯,乔诺巴斯,AI音译，保留文化专名。,术语表候选
Crios,定居点文本,克里奥斯,克里奥斯,AI音译，保留文化专名。,术语表候选
Deir Hawa,定居点文本,代尔哈瓦,代尔哈瓦,AI音译，保留文化专名。,术语表候选
Diathma,定居点文本,迪亚斯玛,迪亚斯玛,AI音译，保留文化专名。,术语表候选
Dinar,定居点文本,迪纳尔,迪纳尔,AI音译，保留文化专名。,术语表候选
Drapand,定居点文本,德拉潘德,德拉潘德,AI音译，保留文化专名。,术语表候选
Dunglanys,定居点文本,东格拉尼斯,东格拉尼斯,AI音译，保留文化专名。,术语表候选
Dyopalis,定居点文本,迪奥帕利斯,迪奥帕利斯,AI音译，保留文化专名。,术语表候选
Epicrotea,定居点文本,埃皮克罗提亚,埃皮克罗提亚,AI音译，保留文化专名。,术语表候选
Epinosa,定居点文本,埃皮诺萨,埃皮诺萨,AI音译，保留文化专名。,术语表候选
Erzenur,定居点文本,埃尔泽努尔,埃尔泽努尔,AI音译，保留文化专名。,术语表候选
Esme,定居点文本,埃斯梅,埃斯梅,AI音译，保留文化专名。,术语表候选
Forin,定居点文本,福林,福林,AI音译，保留文化专名。,术语表候选
Fregian,定居点文本,弗雷吉安,弗雷吉安,AI音译，保留文化专名。,术语表候选
Galend,定居点文本,加伦德,加伦德,AI音译，保留文化专名。,术语表候选
Gamardan,定居点文本,加马尔丹,加马尔丹,AI音译，保留文化专名。,术语表候选
Gaos,定居点文本,加奥斯,加奥斯,AI音译，保留文化专名。,术语表候选
Gersegos,定居点文本,格塞戈斯,格塞戈斯,AI音译，保留文化专名。,术语表候选
Geunat Nal,定居点文本,古纳特纳尔,古纳特纳尔,AI音译，保留文化专名。,术语表候选
Glenlithrig,定居点文本,格伦利斯里格,格伦利斯里格,AI音译，保留文化专名。,术语表候选
Goleryn,定居点文本,戈勒林,戈勒林,AI音译，保留文化专名。,术语表候选
Hakkun Castle,定居点文本,哈昆堡,哈昆堡,AI音译，保留文化专名。,术语表候选
Halisvust,定居点文本,哈利斯武斯特,哈利斯武斯特,AI音译，保留文化专名。,术语表候选
Hertogea,定居点文本,赫托盖亚,赫托盖亚,AI音译，保留文化专名。,术语表候选
Hongard,定居点文本,洪加德,洪加德,AI音译，保留文化专名。,术语表候选
Hongard Castle,定居点文本,洪加德堡,洪加德堡,AI音译，保留文化专名。,术语表候选
Hoqqa,定居点文本,霍卡,霍卡,AI音译，保留文化专名。,术语表候选
Hubyar,定居点文本,胡布亚尔,胡布亚尔,AI音译，保留文化专名。,术语表候选
Husn Fulq,定居点文本,胡斯恩富尔克,胡斯恩富尔克,AI音译，保留文化专名。,术语表候选
Iyakis,定居点文本,伊亚基斯,伊亚基斯,AI音译，保留文化专名。,术语表候选
Jaculan,定居点文本,雅库兰,雅库兰,AI音译，保留文化专名。,术语表候选
Jalmarys,定居点文本,贾尔马里斯,贾尔马里斯,AI音译，保留文化专名。,术语表候选
Jamayeh Castle,定居点文本,贾马耶堡,贾马耶堡,AI音译，保留文化专名。,术语表候选
Jeracos,定居点文本,杰拉科斯,杰拉科斯,AI音译，保留文化专名。,术语表候选
Jogurys,定居点文本,约古里斯,约古里斯,AI音译，保留文化专名。,术语表候选
Jogurys Castle,定居点文本,约古里斯堡,约古里斯堡,AI音译，保留文化专名。,术语表候选
Karahan,定居点文本,卡拉汉,卡拉汉,AI音译，保留文化专名。,术语表候选
Kiraz,定居点文本,基拉兹,基拉兹,AI音译，保留文化专名。,术语表候选
Korsyas,定居点文本,科西亚斯,科西亚斯,AI音译，保留文化专名。,术语表候选
Kuruluk,定居点文本,库鲁卢克,库鲁卢克,AI音译，保留文化专名。,术语表候选
Kvol,定居点文本,克沃尔,克沃尔,AI音译，保留文化专名。,术语表候选
Lageta,定居点文本,拉格塔,拉格塔,AI音译，保留文化专名。,术语表候选
Leblenion,定居点文本,莱布莱尼昂,莱布莱尼昂,AI音译，保留文化专名。,术语表候选
Llanoc Hen Castle,定居点文本,兰诺克亨堡,兰诺克亨堡,AI音译，保留文化专名。,术语表候选
Lochana,定居点文本,洛卡纳,洛卡纳,AI音译，保留文化专名。,术语表候选
Lycaron,定居点文本,莱卡隆,莱卡隆,AI音译，保留文化专名。,术语表候选
Makeb,定居点文本,马凯布,马凯布,AI音译，保留文化专名。,术语表候选
Mareiven,定居点文本,马雷文,马雷文,AI音译，保留文化专名。,术语表候选
Marunath,定居点文本,马鲁纳斯,马鲁纳斯,AI音译，保留文化专名。,术语表候选
Mazhadan,定居点文本,马扎丹,马扎丹,AI音译，保留文化专名。,术语表候选
Mazhadan Castle,定居点文本,马扎丹堡,马扎丹堡,AI音译，保留文化专名。,术语表候选
Medeni Castle,定居点文本,梅德尼堡,梅德尼堡,AI音译，保留文化专名。,术语表候选
Melion,定居点文本,梅利昂,梅利昂,AI音译，保留文化专名。,术语表候选
Morenia,定居点文本,莫雷尼亚,莫雷尼亚,AI音译，保留文化专名。,术语表候选
Morihig,定居点文本,莫里希格,莫里希格,AI音译，保留文化专名。,术语表候选
Mot,定居点文本,莫特,莫特,AI音译，保留文化专名。,术语表候选
Myzea,定居点文本,迈泽亚,迈泽亚,AI音译，保留文化专名。,术语表候选
Nogrent,定居点文本,诺格伦特,诺格伦特,AI音译，保留文化专名。,术语表候选
Nutyuk,定居点文本,努图克,努图克,AI音译，保留文化专名。,术语表候选
Ocs Hall,定居点文本,奥克斯厅,奥克斯厅,AI音译，保留文化专名。,术语表候选
Odokh,定居点文本,奥多克,奥多克,AI音译，保留文化专名。,术语表候选
Omor,定居点文本,奥莫尔,奥莫尔,AI音译，保留文化专名。,术语表候选
Onira,定居点文本,奥尼拉,奥尼拉,AI音译，保留文化专名。,术语表候选
Ormanfard,定居点文本,奥曼法德,奥曼法德,AI音译，保留文化专名。,术语表候选
Ortongard,定居点文本,奥通加德,奥通加德,AI音译，保留文化专名。,术语表候选
Ortysia,定居点文本,奥提西亚,奥提西亚,AI音译，保留文化专名。,术语表候选
Ostican,定居点文本,奥斯蒂坎,奥斯蒂坎,AI音译，保留文化专名。,术语表候选
Palisont,定居点文本,帕利松特,帕利松特,AI音译，保留文化专名。,术语表候选
Pen Cannoc,定居点文本,彭卡诺克,彭卡诺克,AI音译，保留文化专名。,术语表候选
Phycaon,定居点文本,菲卡昂,菲卡昂,AI音译，保留文化专名。,术语表候选
Popsia,定居点文本,波普西亚,波普西亚,AI音译，保留文化专名。,术语表候选
Poros,定居点文本,波罗斯,波罗斯,AI音译，保留文化专名。,术语表候选
Pravend,定居点文本,普拉文德,普拉文德,AI音译，保留文化专名。,术语表候选
Primessos,定居点文本,普里梅索斯,普里梅索斯,AI音译，保留文化专名。,术语表候选
Qasira,定居点文本,卡西拉,卡西拉,AI音译，保留文化专名。,术语表候选
Quyaz,定居点文本,库亚兹,库亚兹,AI音译，保留文化专名。,术语表候选
Razih,定居点文本,拉齐赫,拉齐赫,AI音译，保留文化专名。,术语表候选
Remental,定居点文本,雷门塔尔,雷门塔尔,AI音译，保留文化专名。,术语表候选
Revyl,定居点文本,雷维尔,雷维尔,AI音译，保留文化专名。,术语表候选
Rhemtoil,定居点文本,雷姆托伊尔,雷姆托伊尔,AI音译，保留文化专名。,术语表候选
Rhesos,定居点文本,雷索斯,雷索斯,AI音译，保留文化专名。,术语表候选
Rhotae,定居点文本,罗泰,罗泰,AI音译，保留文化专名。,术语表候选
Rodobas,定居点文本,罗多巴斯,罗多巴斯,AI音译，保留文化专名。,术语表候选
Rovalt,定居点文本,罗瓦尔特,罗瓦尔特,AI音译，保留文化专名。,术语表候选
Samatha,定居点文本,萨马萨,萨马萨,AI音译，保留文化专名。,术语表候选
Saneopa,定居点文本,萨内奥帕,萨内奥帕,AI音译，保留文化专名。,术语表候选
Sargot,定居点文本,萨戈特,萨戈特,AI音译，保留文化专名。,术语表候选
Seonon,定居点文本,塞奥农,塞奥农,AI音译，保留文化专名。,术语表候选
Sestadaim Castle,定居点文本,塞斯塔代姆堡,塞斯塔代姆堡,AI音译，保留文化专名。,术语表候选
Shapeshte,定居点文本,沙佩什特,沙佩什特,AI音译，保留文化专名。,术语表候选
Sibir,定居点文本,西比尔,西比尔,AI音译，保留文化专名。,术语表候选
Simira Castle,定居点文本,西米拉堡,西米拉堡,AI音译，保留文化专名。,术语表候选
Skorin,定居点文本,斯科林,斯科林,AI音译，保留文化专名。,术语表候选
Syratos,定居点文本,西拉托斯,西拉托斯,AI音译，保留文化专名。,术语表候选
Syronea,定居点文本,西罗尼亚,西罗尼亚,AI音译，保留文化专名。,术语表候选
Takor Castle,定居点文本,塔科尔堡,塔科尔堡,AI音译，保留文化专名。,术语表候选
Talivel Castle,定居点文本,塔利维尔堡,塔利维尔堡,AI音译，保留文化专名。,术语表候选
Tasheba,定居点文本,塔舍巴,塔舍巴,AI音译，保留文化专名。,术语表候选
Tepes,定居点文本,特佩斯,特佩斯,AI音译，保留文化专名。,术语表候选
Tevea,定居点文本,特维亚,特维亚,AI音译，保留文化专名。,术语表候选
Thorios,定居点文本,索里奥斯,索里奥斯,AI音译，保留文化专名。,术语表候选
Thractorae,定居点文本,斯拉克托雷,斯拉克托雷,AI音译，保留文化专名。,术语表候选
Thractorae Castle,定居点文本,斯拉克托雷堡,斯拉克托雷堡,AI音译，保留文化专名。,术语表候选
Tismil,定居点文本,蒂斯米尔,蒂斯米尔,AI音译，保留文化专名。,术语表候选
Tor Melina,定居点文本,托尔梅利纳,托尔梅利纳,AI音译，保留文化专名。,术语表候选
Tyal,定居点文本,蒂亚尔,蒂亚尔,AI音译，保留文化专名。,术语表候选
Uqba,定居点文本,乌克巴,乌克巴,AI音译，保留文化专名。,术语表候选
Urikskala,定居点文本,乌里克斯卡拉,乌里克斯卡拉,AI音译，保留文化专名。,术语表候选
Usanc Castle,定居点文本,乌桑克堡,乌桑克堡,AI音译，保留文化专名。,术语表候选
Usek,定居点文本,乌塞克,乌塞克,AI音译，保留文化专名。,术语表候选
Ustokol Castle,定居点文本,乌斯托科尔堡,乌斯托科尔堡,AI音译，保留文化专名。,术语表候选
Varcheg,定居点文本,瓦尔切格,瓦尔切格,AI音译，保留文化专名。,术语表候选
Vargornis,定居点文本,瓦尔戈尼斯,瓦尔戈尼斯,AI音译，保留文化专名。,术语表候选
Varnovapol,定居点文本,瓦尔诺瓦波尔,瓦尔诺瓦波尔,AI音译，保留文化专名。,术语表候选
Vathea,定居点文本,瓦西亚,瓦西亚,AI音译，保留文化专名。,术语表候选
Vealos,定居点文本,维阿洛斯,维阿洛斯,AI音译，保留文化专名。,术语表候选
Verecsand,定居点文本,韦雷克桑德,韦雷克桑德,AI音译，保留文化专名。,术语表候选
Verecsand Castle,定居点文本,韦雷克桑德堡,韦雷克桑德堡,AI音译，保留文化专名。,术语表候选
Veron Castle,定居点文本,韦隆堡,韦隆堡,AI音译，保留文化专名。,术语表候选
Vesin,定居点文本,韦辛,韦辛,AI音译，保留文化专名。,术语表候选
Visibrot,定居点文本,维西布罗特,维西布罗特,AI音译，保留文化专名。,术语表候选
Vladiv,定居点文本,弗拉迪夫,弗拉迪夫,AI音译，保留文化专名。,术语表候选
Vostrum,定居点文本,沃斯特鲁姆,沃斯特鲁姆,AI音译，保留文化专名。,术语表候选
Wadar,定居点文本,瓦达尔,瓦达尔,AI音译，保留文化专名。,术语表候选
Yangutum,定居点文本,扬古图姆,扬古图姆,AI音译，保留文化专名。,术语表候选
Zeonica,定居点文本,泽奥尼卡,泽奥尼卡,AI音译，保留文化专名。,术语表候选
Zestea,定居点文本,泽斯特亚,泽斯特亚,AI音译，保留文化专名。,术语表候选
Aalgrun,定居点文本,阿尔格伦,阿尔格伦,AI音译，保留文化专名。,术语表候选
Ab Comer,定居点文本,阿布科默,阿布科默,AI音译，保留文化专名。,术语表候选
Abba,定居点文本,阿巴,阿巴,AI音译，保留文化专名。,术语表候选
Abghan,定居点文本,阿布甘,阿布甘,AI音译，保留文化专名。,术语表候选
Abu Khih,定居点文本,阿布基赫,阿布基赫,AI音译，保留文化专名。,术语表候选
Aegosca,定居点文本,埃戈斯卡,埃戈斯卡,AI音译，保留文化专名。,术语表候选
Agilting,定居点文本,阿吉尔廷,阿吉尔廷,AI音译，保留文化专名。,术语表候选
Agilting Castle,定居点文本,阿吉尔廷堡,阿吉尔廷堡,AI音译，保留文化专名。,术语表候选
Ain Baliq,定居点文本,艾因巴利克,艾因巴利克,AI音译，保留文化专名。,术语表候选
Akiser,定居点文本,阿基瑟,阿基瑟,AI音译，保留文化专名。,术语表候选
Akiser Castle,定居点文本,阿基瑟堡,阿基瑟堡,AI音译，保留文化专名。,术语表候选
Alantas,定居点文本,阿兰塔斯,阿兰塔斯,AI音译，保留文化专名。,术语表候选
Alatys,定居点文本,阿拉蒂斯,阿拉蒂斯,AI音译，保留文化专名。,术语表候选
Alebat,定居点文本,阿莱巴特,阿莱巴特,AI音译，保留文化专名。,术语表候选
Alorstan,定居点文本,阿洛斯坦,阿洛斯坦,AI音译，保留文化专名。,术语表候选
Alosea,定居点文本,阿洛塞亚,阿洛塞亚,AI音译，保留文化专名。,术语表候选
Alov,定居点文本,阿洛夫,阿洛夫,AI音译，保留文化专名。,术语表候选
Alsasos,定居点文本,阿尔萨索斯,阿尔萨索斯,AI音译，保留文化专名。,术语表候选
Amycon,定居点文本,阿米孔,阿米孔,AI音译，保留文化专名。,术语表候选
Andurn,定居点文本,安杜恩,安杜恩,AI音译，保留文化专名。,术语表候选
Arpotis,定居点文本,阿尔波蒂斯,阿尔波蒂斯,AI音译，保留文化专名。,术语表候选
Arromanc,定居点文本,阿罗曼克,阿罗曼克,AI音译，保留文化专名。,术语表候选
Aster,定居点文本,阿斯特,阿斯特,AI音译，保留文化专名。,术语表候选
Aster Castle,定居点文本,阿斯特堡,阿斯特堡,AI音译，保留文化专名。,术语表候选
Ataconia,定居点文本,阿塔科尼亚,阿塔科尼亚,AI音译，保留文化专名。,术语表候选
Ataconia Castle,定居点文本,阿塔科尼亚堡,阿塔科尼亚堡,AI音译，保留文化专名。,术语表候选
Atphynia,定居点文本,阿特菲尼亚,阿特菲尼亚,AI音译，保留文化专名。,术语表候选
Atrion,定居点文本,阿特里翁,阿特里翁,AI音译，保留文化专名。,术语表候选
Atrion Castle,定居点文本,阿特里翁堡,阿特里翁堡,AI音译，保留文化专名。,术语表候选
Avasinton,定居点文本,阿瓦辛顿,阿瓦辛顿,AI音译，保留文化专名。,术语表候选
Backstreet,定居点文本,后街,后街,AI音译，保留文化专名。,术语表候选
Bait Hatif,定居点文本,拜特哈提夫,拜特哈提夫,AI音译，保留文化专名。,术语表候选
Baq,定居点文本,巴克,巴克,AI音译，保留文化专名。,术语表候选
Barihal,定居点文本,巴里哈尔,巴里哈尔,AI音译，保留文化专名。,术语表候选
Beglomuar,定居点文本,贝格洛穆阿尔,贝格洛穆阿尔,AI音译，保留文化专名。,术语表候选
Bir Seif,定居点文本,比尔塞夫,比尔塞夫,AI音译，保留文化专名。,术语表候选
Bjorenbyr,定居点文本,比约伦比尔,比约伦比尔,AI音译，保留文化专名。,术语表候选
